2,"t","Honey: Released February 28, 2005, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
2,"t","and Value by State and United States, 2003 1/"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","Producing","per","Production","Stocks","Price per","of"
2,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
2,"h","","","","","","",""
2,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
2,"d","AL",13,82,1066,43,124,1322
2,"d","AZ",35,72,2520,983,134,3377
2,"d","AR",40,75,3000,810,126,3780
2,"d","CA",480,67,32160,6432,139,44702
2,"d","CO",24,86,2064,722,140,2890
2,"d","FL",210,71,14910,1491,132,19681
2,"d","GA",52,65,3380,270,128,4326
2,"d","HI",7,114,798,43,145,1157
2,"d","ID",100,46,4600,1380,133,6118
2,"d","IL",7,60,420,252,183,769
2,"d","IN",5,56,280,78,166,465
2,"d","IA",32,59,1888,868,142,2681
2,"d","KS",16,57,912,447,141,1286
2,"d","KY",5,48,240,14,167,401
2,"d","LA",34,90,3060,275,124,3794
2,"d","ME",8,33,264,145,141,372
2,"d","MD",2,42,84,21,193,162
2,"d","MI",65,74,4810,1732,141,6782
2,"d","MN",120,83,9960,1892,144,14342
2,"d","MS",21,69,1449,246,129,1869
2,"d","MO",17,53,901,189,141,1270
2,"d","MT",145,66,9570,1914,144,13781
2,"d","NE",45,74,3330,1299,138,4595
2,"d","NV",6,64,384,46,204,783
2,"d","NJ",10,19,190,101,160,304
2,"d","NM",6,41,246,108,120,295
2,"d","NY",67,72,4824,1640,136,6561
2,"d","NC",10,44,440,79,192,845
2,"d","ND",340,87,29580,6803,136,40229
2,"d","OH",15,50,750,278,140,1050
2,"d","OK",3,47,141,69,184,259
2,"d","OR",42,51,2142,964,127,2720
2,"d","PA",27,50,1350,419,144,1944
2,"d","SC",4,70,280,8,189,529
2,"d","SD",215,70,15050,2709,143,21522
2,"d","TN",6,40,240,46,152,365
2,"d","TX",140,67,9380,1126,140,13132
2,"d","UT",25,57,1425,157,128,1824
2,"d","VT",7,83,581,163,196,1139
2,"d","VA",6,37,222,69,168,373
2,"d","WA",58,56,3248,942,146,4742
2,"d","WV",8,47,376,194,189,711
2,"d","WI",74,77,5698,2678,147,8376
2,"d","WY",39,81,3159,474,141,4454
2,"d","",,,,,,
2,"d","Oth",,,,,,
2,"d"," Sts 4/ 5/",8,44,355,166,289,1027
2,"d","",,,,,,
2,"d","US 5/ 6/",2599,70,181727,40785,138.7,253106
2,"c",""
2,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State."
2,"f","2/  Stocks held by producers."
2,"f","3/  Prices weighted by sales."
2,"f","4/  CT, DE, MA, NH, and RI not published separately to avoid disclosing data for individual operations."
2,"f","5/  Total colonies multiplied by total yield may not exactly equal production."
2,"f","6/  U.S. value of production is U.S. production multiplied by U.S. price per pound."
