4,"t","Honey: Released May 16, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
4,"t","Reliability of Honey Estimates"
4,"t","[Based on data for the past 10 years]"
4,"h","","","","","","","",""
4,"h","","Root mean","90 percent","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate"
4,"h","","square error","confidence","","","","",""
4,"h","","","level","","","","",""
4,"h","Item","","","","","","Years","Years"
4,"h","","","","","","","",""
4,"h","","","","Average","Smallest","Largest","Below latest","Above latest"
4,"h","","","","","","","",""
4,"u","","(percent)","(percent)","(1,000)","(1,000)","(1,000)","(number)","(number)"
4,"d","Honey producing colonies",1.3,2.4,17,-,85,3,1
4,"d","",,,,,,,
4,"d","Honey production",1.3,2.4,1059,-,4796,3,1
4,"c",""
4,"f","-  Represents zero."
